year,state,west,midwest,northeast,southeast,southwest,drought,flooding,freeze,severe storm,tropical cyclone,wildfire,winter storm,Cost,Avg_Tmp,Min_Tmp,Max_Tmp,Precip,Avg_Elevation,Unemployment,Population,Size,GDP,Inflation_Rate,Personal Income
1980,AK,1,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,1900,9.533333333,401851,663267,15282,0.1355,6069
1980,AL,0,0,0,1,0,1,0,0,0,0,0,0,2000,61.9,49.6,74.2,54.31,500,8.816666667,3893888,52419,36142,0.1355,30521
1980,AR,0,0,0,1,0,1,1,0,0,0,0,0,1000,60.3,48.2,72.3,38.33,1900,7.533333333,2286435,53179,20276,0.1355,17213
1980,AZ,0,0,0,0,1,0,0,0,0,0,0,0,0,60.4,45.9,74.9,11.55,500,6.608333333,2718215,113998,30764,0.1355,25964
1980,CA,1,0,0,0,0,0,0,0,0,0,0,0,0,58.1,45.6,70.7,21.88,650,6.9,23667902,163695,327958,0.1355,28390
1980,CO,1,0,0,0,0,0,0,0,0,0,0,0,0,46.2,32,60.3,15.85,4100,5.883333333,2889964,104093,38332,0.1355,31164
1980,CT,0,0,1,0,0,0,0,0,0,0,0,0,0,47.1,36.4,57.8,39.65,2900,5.666666667,3107576,5544,40770,0.1355,38357
1980,DC,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,6800,#N/A,638333,#N/A,#N/A,0.1355,#N/A
1980,DE,0,0,1,0,0,0,0,0,0,0,0,0,0,53.6,43.5,63.6,36.31,500,7.516666667,594338,2489,7898,0.1355,6398
1980,FL,0,0,0,1,0,0,0,0,0,0,0,0,0,69.2,58.1,80.3,46.31,#N/A,5.983333333,9746324,65755,97899,0.1355,97623
1980,GA,0,0,0,1,0,1,0,0,0,0,0,0,2000,62.4,50.3,74.5,43.37,60,6.308333333,5463105,59425,56229,0.1355,46128
1980,HI,1,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,100,4.975,964691,10931,13380,0.1355,11026
1980,IA,0,1,0,0,0,1,0,0,0,0,0,0,2000,48.2,37,59.4,27.89,600,5.933333333,2913808,56271,34582,0.1355,27894
1980,ID,1,0,0,0,0,0,0,0,0,0,0,0,0,43.9,32.7,55.1,25.77,3030,7.55,943935,83570,9916,0.1355,8187
1980,IL,0,1,0,0,0,1,0,0,0,0,0,0,2000,51.2,40.8,61.6,33.05,1100,8.216666667,11426518,57914,145264,0.1355,125551
1980,IN,0,1,0,0,0,0,0,0,0,0,0,0,0,50.1,39.8,60.5,35.07,5000,9.716666667,5490224,36418,58870,0.1355,51357
1980,KS,0,1,0,0,0,1,0,0,0,0,0,0,2000,55.4,42.2,68.7,20.65,600,4.4,2363679,82276,28298,0.1355,23545
1980,KY,0,0,0,1,0,1,0,0,0,0,0,0,2000,54.1,42.8,65.4,35.66,700,8,3660777,40410,37017,0.1355,29726
1980,LA,0,0,0,1,0,1,1,0,0,1,0,0,5000,65.5,54.1,76.9,54.55,2000,7.05,4205900,51840,63925,0.1355,37022
